KRT14 (15),KRT8 (30),CD1a (34),GAPDH (35),CCL 21 (48),CD3 E (57),CXCL 12 (67)
52,74,61,45,51,58,139
60,79,68,55,61,74,135
34,1071,58,6287,40,103,193
32,1150,64,6112,35,99,247
480,270,543,6021,3979,2651,1165
633,317,659,7500,4886,3273,1459
229,87,173,139,113,354,516
253,99,183,162,107,374,530
306,100,430,287,184,805,891
341,119,532,332,207,951,1028
386,119,314,266,164,838,740
396,119,332,274,158,883,800
471,109,305,298,221,814,938
474,111,314,318,219,848,988
781,87,90,255,192,565,634
894,103,100,273,227,631,776
785,106,185,522,219,1143,1009
1014,132,239,647,278,1519,1278
506,142,118,318,84,777,960
502,145,136,325,108,763,976
306,145,174,362,387,868,1538
284,154,168,381,377,864,1584
87,157,129,121,58,186,574
79,190,149,133,56,190,646
