KRT14 (15),KRT8 (30),CD1a (34),GAPDH (35),CCL 21 (48),CD3 E (57),CXCL 12 (67)
223,144,283,215,109,613,823
2116,97,415,245,186,1116,750
1104,191,1558,837,248,2793,1833
1005,183,1415,858,238,2631,1720
276,118,425,172,89,614,644
287,114,398,182,84,582,614
2311,173,893,1146,174,2385,1084
2100,178,810,1123,158,2248,1056
720,121,590,664,299,1112,1106
749,120,532,638,290,1111,1149
282,160,241,264,150,599,653
267,166,275,277,152,615,727
343,119,162,98,75,192,519
360,207,205,103,79,204,804
1093,188,426,411,151,1160,1054
1092,216,450,397,142,1160,1138
48,158,132,39,62,54,495
3837,213,728,598,289,1700,1320
43,196,108,108,2356,90,1219
46,228,113,118,2256,86,1254
832,183,490,314,141,630,923
785,163,468,316,137,635,870
46,208,105,128,62,54,955
47,226,121,136,61,50,987
1392,218,1234,1975,564,2537,2519
1685,229,1470,2170,630,3009,3108
3524,271,1640,1448,390,2852,3042
3694,264,1658,1476,419,3078,3210
1366,175,188,221,167,383,1101
1334,156,167,210,146,358,978
1436,223,346,406,447,465,1384
1475,205,323,404,478,463,1380
3779,273,169,565,739,472,3373
3899,296,193,579,725,476,3705
1428,209,384,301,270,808,1060
1486,189,375,312,277,778,1008
1042,252,191,183,109,187,1127
988,196,182,172,113,169,958
515,248,280,342,136,469,1521
505,236,284,348,158,475,1562
76,94,83,107,63,83,450
70,84,77,95,60,74,460
1213,165,507,738,230,1423,1117
1238,151,532,783,232,1498,1070
216,240,107,269,1700,151,1943
235,235,107,280,1772,160,1958
134,158,97,128,1285,84,1870
150,148,91,128,1238,79,1685
4687,2615,25127,26898,1441,27620,9727
5852,3387,26424,28019,1793,28832,12783
5259,719,4479,7662,402,10948,4976
5401,850,4714,8189,425,11810,5286
2189,2116,24451,27925,790,26872,8118
2193,2296,24512,28168,835,27200,8003
24082,4105,711,24881,2866,16411,16641
24912,5063,856,26724,3387,18853,19951
123,61,60,45,53,54,211
96,50,48,33,46,46,145
77,89,77,46,54,58,286
67,68,63,40,50,51,208
1254,99,160,89,83,183,595
1102,77,149,86,75,164,532
143,146,84,362,51,48,565
142,130,71,319,51,55,461
512,103,70,148,4040,159,1117
496,88,78,153,4027,162,1039
505,125,86,120,336,66,1298
512,111,90,127,338,82,1138
129,108,121,53,66,82,322
131,98,120,49,71,86,311
1373,119,254,269,99,731,548
